iteration, res_change_id, num_procs, delta_procs, rc_status, rc_start, get_rc_start_1, request_start, get_rc_start_2, psetop_start, handle_rc_start, handle_rc_end, accept_start, accept_end, rc_end, partition_start, interval_start, interval_end, iteration_end
1,0,28,0,0,0,0,0,0,0,0,0,0,0,0,1637839431707586,1637839431707716,1637839434584216,1637839434584216
2,1,28,0,1,1637839434584278,1637839434584279,1637839434584801,1637839434584895,1637839434589118,1637839434589976,0,1637839434590002,1637839434630829,1637839434630829,1637839434630830,1637839434631152,1637839437375262,1637839437375263
3,1,56,28,2,1637839437375319,1637839437375321,0,0,0,1637839437409822,1637839437451506,1637839437375790,1637839437409818,1637839437442500,1637839437451508,1637839437809050,1637839439730663,1637839439730663
4,2,56,0,1,1637839439730693,1637839439730693,1637839439731020,1637839439731050,1637839439737788,1637839439739358,0,1637839439739364,1637839439782834,1637839439782835,1637839439782835,1637839439783444,1637839441145378,1637839441145378
5,2,56,0,2,1637839441145399,1637839441145400,0,0,0,1637839441145854,0,1637839441145861,1637839441146446,1637839441146446,1637839441146446,1637839441147090,1637839442533383,1637839442533383
6,2,84,28,2,1637839442533413,1637839442533413,0,0,0,1637839442563056,1637839442604218,1637839442534030,1637839442563056,1637839442593762,1637839442604219,1637839442844461,1637839444271220,1637839444271220
7,3,84,0,1,1637839444271241,1637839444271241,1637839444271601,1637839444271631,1637839444278582,1637839444279938,0,1637839444279943,1637839444322838,1637839444322838,1637839444322838,1637839444323483,1637839445359044,1637839445359045
8,3,84,0,2,1637839445359062,1637839445359063,0,0,0,1637839445359447,0,1637839445359451,1637839445359633,1637839445359633,1637839445359633,1637839445360492,1637839446410335,1637839446410335
9,3,112,28,2,1637839446410357,1637839446410357,0,0,0,1637839446438645,1637839446488419,1637839446410774,1637839446438644,1637839446475631,1637839446488419,1637839446669507,1637839447777043,1637839447777043
10,3,112,0,2,0,0,0,0,0,0,0,0,0,0,1637839447777063,1637839447777876,1637839448715614,1637839448715615
