iteration, res_change_id, num_procs, delta_procs, rc_status, rc_start, get_rc_start, psetop_start, accept_start, accept_end, reinit_start, rc_end, rebalance_start, work_start, work_end, iteration_end
1,0,112,0,0,1637780057755260,0,0,0,0,0,0,1637780057385160,1637780057397036,1637780057734576,1637780057755260
2,0,112,0,0,1637780058107029,0,0,0,0,0,0,1637780057755263,1637780057756378,1637780057973708,1637780058107029
3,0,112,0,0,1637780058368054,0,0,0,0,0,0,1637780058107030,1637780058107702,1637780058303790,1637780058368054
4,0,112,0,0,1637780058575253,0,0,0,0,0,0,1637780058368076,1637780058368653,1637780058570302,1637780058575253
5,0,112,0,0,1637780058782751,0,0,0,0,0,0,1637780058575254,1637780058576249,1637780058774367,1637780058782751
6,0,112,0,0,1637780058989810,0,0,0,0,0,0,1637780058782752,1637780058783427,1637780058974329,1637780058989810
7,0,112,0,0,1637780059195708,0,0,0,0,0,0,1637780058989810,1637780058990750,1637780059185378,1637780059195708
8,0,112,0,0,1637780059402847,0,0,0,0,0,0,1637780059195709,1637780059196406,1637780059393276,1637780059402847
9,0,112,0,0,1637780059610231,0,0,0,0,0,0,1637780059402848,1637780059403611,1637780059605086,1637780059610231
10,0,112,0,0,1637780059815597,0,0,0,0,0,0,1637780059610232,1637780059610941,1637780059804256,1637780059815597
11,1,112,-28,1,1637780060071699,1637780060071767,1637780060082730,1637780060126806,1637780060138991,1637780060138993,1637780060184379,1637780059815597,1637780059816278,1637780060014425,1637780060184469
12,0,84,0,0,1637780060633735,0,0,0,0,0,0,1637780060184470,1637780060186725,1637780060447230,1637780060633735
13,0,84,0,0,1637780060919424,0,0,0,0,0,0,1637780060633736,1637780060634409,1637780060897405,1637780060919424
14,0,84,0,0,1637780061194785,0,0,0,0,0,0,1637780060919425,1637780060920052,1637780061193764,1637780061194785
15,0,84,0,0,1637780061485352,0,0,0,0,0,0,1637780061194786,1637780061195399,1637780061459399,1637780061485352
16,0,84,0,0,1637780061763943,0,0,0,0,0,0,1637780061485353,1637780061485989,1637780061747253,1637780061763943
17,0,84,0,0,1637780062034915,0,0,0,0,0,0,1637780061763944,1637780061764443,1637780062026807,1637780062034915
18,0,84,0,0,1637780062310673,0,0,0,0,0,0,1637780062034916,1637780062035758,1637780062296236,1637780062310673
19,0,84,0,0,1637780062601190,0,0,0,0,0,0,1637780062310684,1637780062311300,1637780062573329,1637780062601190
20,0,84,0,0,1637780062877028,0,0,0,0,0,0,1637780062601196,1637780062601895,1637780062863248,1637780062877028
21,0,84,0,0,1637780063156540,0,0,0,0,0,0,1637780062877029,1637780062877812,1637780063141525,1637780063156540
22,2,84,-28,1,1637780063519115,1637780063519131,1637780063530605,1637780063531652,1637780063580780,1637780063580783,1637780063627758,1637780063156541,1637780063157050,1637780063416267,1637780063627853
23,0,56,0,0,1637780064199507,0,0,0,0,0,0,1637780063627855,1637780063628764,1637780064022398,1637780064199507
