iteration, res_change_id, num_procs, delta_procs, rc_status, rc_start, get_rc_start, psetop_start, accept_start, accept_end, reinit_start, rc_end, rebalance_start, work_start, work_end, iteration_end
1,0,28,0,0,1637779574574604,0,0,0,0,0,0,1637779573525024,1637779573525508,1637779574318871,1637779574574604
2,0,28,0,0,1637779575379740,0,0,0,0,0,0,1637779574574614,1637779574574631,1637779575361050,1637779575379740
3,0,28,0,0,1637779576189908,0,0,0,0,0,0,1637779575379742,1637779575379759,1637779576166111,1637779576189908
4,0,28,0,0,1637779577005468,0,0,0,0,0,0,1637779576189908,1637779576189913,1637779576978835,1637779577005468
5,0,28,0,0,1637779577811957,0,0,0,0,0,0,1637779577005471,1637779577005486,1637779577789677,1637779577811957
6,0,28,0,0,1637779578626090,0,0,0,0,0,0,1637779577811960,1637779577811969,1637779578600049,1637779578626090
7,0,28,0,0,1637779579430539,0,0,0,0,0,0,1637779578626101,1637779578626106,1637779579418070,1637779579430539
8,0,28,0,0,1637779580228342,0,0,0,0,0,0,1637779579430543,1637779579430561,1637779580219567,1637779580228342
9,0,28,0,0,1637779581040063,0,0,0,0,0,0,1637779580228343,1637779580228405,1637779581032381,1637779581040063
10,0,28,0,0,1637779581851488,0,0,0,0,0,0,1637779581040075,1637779581040081,1637779581844115,1637779581851488
11,1,28,28,1,1637779582666761,1637779582666802,1637779582671134,1637779582671924,1637779584187128,1637779584187130,1637779584209016,1637779581851490,1637779581851501,1637779582655505,1637779584218745
12,0,56,0,0,1637779584927962,0,0,0,0,0,0,1637779584218747,1637779584219595,1637779584612322,1637779584927962
13,0,56,0,0,1637779585627328,0,0,0,0,0,0,1637779584927963,1637779584928520,1637779585327473,1637779585627328
14,0,56,0,0,1637779586330018,0,0,0,0,0,0,1637779585627329,1637779585627760,1637779586018406,1637779586330018
15,0,56,0,0,1637779587028905,0,0,0,0,0,0,1637779586330031,1637779586330584,1637779586731740,1637779587028905
16,0,56,0,0,1637779587727469,0,0,0,0,0,0,1637779587028906,1637779587029460,1637779587428177,1637779587727469
17,0,56,0,0,1637779588430020,0,0,0,0,0,0,1637779587727470,1637779587727951,1637779588120308,1637779588430020
18,0,56,0,0,1637779589131178,0,0,0,0,0,0,1637779588430021,1637779588430589,1637779588822952,1637779589131178
19,0,56,0,0,1637779589833456,0,0,0,0,0,0,1637779589131179,1637779589131472,1637779589526835,1637779589833456
20,0,56,0,0,1637779590536179,0,0,0,0,0,0,1637779589833457,1637779589834077,1637779590225286,1637779590536179
21,0,56,0,0,1637779591234503,0,0,0,0,0,0,1637779590536192,1637779590536692,1637779590934538,1637779591234503
22,2,56,28,1,1637779591935989,1637779591936002,1637779591940261,1637779591940923,1637779593617768,1637779593617770,1637779593653556,1637779591234504,1637779591235037,1637779591623094,1637779593654016
23,0,84,0,0,1637779594135499,0,0,0,0,0,0,1637779593654018,1637779593658422,1637779593916773,1637779594135499
24,0,84,0,0,1637779594616679,0,0,0,0,0,0,1637779594135500,1637779594136141,1637779594400225,1637779594616679
25,0,84,0,0,1637779595085264,0,0,0,0,0,0,1637779594616680,1637779594617069,1637779594878471,1637779595085264
26,0,84,0,0,1637779595551222,0,0,0,0,0,0,1637779595085265,1637779595085959,1637779595350226,1637779595551222
27,0,84,0,0,1637779596019388,0,0,0,0,0,0,1637779595551224,1637779595551872,1637779595813333,1637779596019388
28,0,84,0,0,1637779596486512,0,0,0,0,0,0,1637779596019389,1637779596019988,1637779596282383,1637779596486512
29,0,84,0,0,1637779596953867,0,0,0,0,0,0,1637779596486513,1637779596487228,1637779596750456,1637779596953867
30,0,84,0,0,1637779597443751,0,0,0,0,0,0,1637779596953869,1637779596954559,1637779597217780,1637779597443751
31,0,84,0,0,1637779597909613,0,0,0,0,0,0,1637779597443752,1637779597444478,1637779597701824,1637779597909613
32,0,84,0,0,1637779598380918,0,0,0,0,0,0,1637779597909630,1637779597910076,1637779598172852,1637779598380918
33,3,84,28,1,1637779598848901,1637779598848918,1637779598853700,1637779598854832,1637779600729224,1637779600729227,1637779600759992,1637779598380919,1637779598381534,1637779598649831,1637779600760033
34,0,112,0,0,1637779601116923,0,0,0,0,0,0,1637779600760036,1637779600763683,1637779600964553,1637779601116923
35,0,112,0,0,1637779601477508,0,0,0,0,0,0,1637779601116925,1637779601117631,1637779601319004,1637779601477508
36,0,112,0,0,1637779601851760,0,0,0,0,0,0,1637779601477510,1637779601478058,1637779601679752,1637779601851760
37,0,112,0,0,1637779602202840,0,0,0,0,0,0,1637779601851762,1637779601852362,1637779602053185,1637779602202840
38,0,112,0,0,1637779602550889,0,0,0,0,0,0,1637779602202842,1637779602203364,1637779602405069,1637779602550889
39,0,112,0,0,1637779602903703,0,0,0,0,0,0,1637779602550891,1637779602551882,1637779602752587,1637779602903703
40,0,112,0,0,1637779603206789,0,0,0,0,0,0,1637779602903704,1637779602904401,1637779603105122,1637779603206789
41,0,112,0,0,1637779603413862,0,0,0,0,0,0,1637779603206790,1637779603207426,1637779603408129,1637779603413862
42,0,112,0,0,1637779603663346,0,0,0,0,0,0,1637779603413864,1637779603414667,1637779603615468,1637779603663346
43,0,112,0,0,1637779604013253,0,0,0,0,0,0,1637779603663348,1637779603664378,1637779603865191,1637779604013253
44,0,112,0,0,1637779604246990,0,0,0,0,0,0,1637779604013254,1637779604014138,1637779604215281,1637779604246990
45,0,112,0,0,1637779604454376,0,0,0,0,0,0,1637779604246991,1637779604248285,1637779604448720,1637779604454376
46,0,112,0,0,1637779604661354,0,0,0,0,0,0,1637779604454377,1637779604455100,1637779604655632,1637779604661354
47,0,112,0,0,1637779605011279,0,0,0,0,0,0,1637779604661355,1637779604661986,1637779604863141,1637779605011279
48,0,112,0,0,1637779605363418,0,0,0,0,0,0,1637779605011281,1637779605011995,1637779605212704,1637779605363418
49,0,112,0,0,1637779605648828,0,0,0,0,0,0,1637779605363420,1637779605364202,1637779605564951,1637779605648828
50,0,112,0,0,1637779605855297,0,0,0,0,0,0,1637779605648830,1637779605649624,1637779605847234,1637779605855297
51,0,112,0,0,1637779606059345,0,0,0,0,0,0,1637779605855298,1637779605855968,1637779606056373,1637779606059345
52,0,112,0,0,1637779606266926,0,0,0,0,0,0,1637779606059346,1637779606060380,1637779606261326,1637779606266926
53,0,112,0,0,1637779606484820,0,0,0,0,0,0,1637779606266927,1637779606267656,1637779606461906,1637779606484820
54,0,112,0,0,1637779606692099,0,0,0,0,0,0,1637779606484841,1637779606485358,1637779606681005,1637779606692099
55,0,112,0,0,1637779606898911,0,0,0,0,0,0,1637779606692100,1637779606692787,1637779606886395,1637779606898911
56,0,112,0,0,1637779607104056,0,0,0,0,0,0,1637779606898912,1637779606899907,1637779607094698,1637779607104056
57,0,112,0,0,1637779607311361,0,0,0,0,0,0,1637779607104058,1637779607104898,1637779607301788,1637779607311361
58,0,112,0,0,1637779607520538,0,0,0,0,0,0,1637779607311363,1637779607312139,1637779607514927,1637779607520538
59,0,112,0,0,1637779607727215,0,0,0,0,0,0,1637779607520539,1637779607521006,1637779607719053,1637779607727215
60,0,112,0,0,1637779607934211,0,0,0,0,0,0,1637779607727219,1637779607727785,1637779607922041,1637779607934211
61,0,112,0,0,1637779608141255,0,0,0,0,0,0,1637779607934212,1637779607934920,1637779608132824,1637779608141255
62,0,112,0,0,1637779608372905,0,0,0,0,0,0,1637779608141256,1637779608141948,1637779608343743,1637779608372905
