iteration, res_change_id, num_procs, delta_procs, rc_status, rc_start, get_rc_start, psetop_start, accept_start, accept_end, reinit_start, rc_end, rebalance_start, work_start, work_end, iteration_end
1,0,28,0,0,1637779854595818,0,0,0,0,0,0,1637779853358609,1637779853370701,1637779854321055,1637779854595818
2,0,28,0,0,1637779855402561,0,0,0,0,0,0,1637779854595841,1637779854595847,1637779855387990,1637779855402561
3,0,28,0,0,1637779856207810,0,0,0,0,0,0,1637779855402563,1637779855402586,1637779856191550,1637779856207810
4,0,28,0,0,1637779857033044,0,0,0,0,0,0,1637779856207811,1637779856207845,1637779856991695,1637779857033044
5,0,28,0,0,1637779857911260,0,0,0,0,0,0,1637779857033046,1637779857033067,1637779857813104,1637779857911260
6,0,28,0,0,1637779858792257,0,0,0,0,0,0,1637779857911262,1637779857911319,1637779858695076,1637779858792257
7,0,28,0,0,1637779859612117,0,0,0,0,0,0,1637779858792268,1637779858792275,1637779859580696,1637779859612117
8,0,28,0,0,1637779860429796,0,0,0,0,0,0,1637779859612122,1637779859612134,1637779860395496,1637779860429796
9,0,28,0,0,1637779861247307,0,0,0,0,0,0,1637779860429797,1637779860429808,1637779861223501,1637779861247307
10,0,28,0,0,1637779862051916,0,0,0,0,0,0,1637779861247307,1637779861247332,1637779862029724,1637779862051916
11,1,28,0,1,1637779862877059,1637779862877133,1637779862882129,1637779862883114,1637779862930812,0,1637779862930812,1637779862051916,1637779862051938,1637779862840724,1637779862930812
12,1,28,0,2,1637779863735823,1637779863735827,0,1637779863736002,1637779863736119,0,1637779863736119,1637779862930813,1637779862930840,1637779863714605,1637779863736119
13,1,28,28,2,1637779864549745,1637779864549747,0,1637779864549907,1637779864577964,1637779864577964,1637779864610718,1637779863736120,1637779863736193,1637779864519358,1637779864620237
14,0,56,0,0,1637779865324925,0,0,0,0,0,0,1637779864620238,1637779864621241,1637779865007614,1637779865324925
15,0,56,0,0,1637779866024725,0,0,0,0,0,0,1637779865324925,1637779865325290,1637779865717608,1637779866024725
16,0,56,0,0,1637779866570766,0,0,0,0,0,0,1637779866024726,1637779866025160,1637779866419154,1637779866570766
17,0,56,0,0,1637779866980273,0,0,0,0,0,0,1637779866570811,1637779866571075,1637779866963818,1637779866980273
18,0,56,0,0,1637779867392421,0,0,0,0,0,0,1637779866980274,1637779866980678,1637779867374801,1637779867392421
19,0,56,0,0,1637779867799827,0,0,0,0,0,0,1637779867392422,1637779867392800,1637779867787270,1637779867799827
20,0,56,0,0,1637779868206067,0,0,0,0,0,0,1637779867799828,1637779867800166,1637779868193459,1637779868206067
21,0,56,0,0,1637779868615984,0,0,0,0,0,0,1637779868206068,1637779868206546,1637779868599084,1637779868615984
22,0,56,0,0,1637779869051581,0,0,0,0,0,0,1637779868615985,1637779868616590,1637779869009093,1637779869051581
23,0,56,0,0,1637779869464885,0,0,0,0,0,0,1637779869051582,1637779869052191,1637779869454636,1637779869464885
24,2,56,0,1,1637779869878339,1637779869878358,1637779869884756,1637779869885998,1637779869926828,0,1637779869926828,1637779869464886,1637779869465615,1637779869872675,1637779869926828
25,2,56,0,2,1637779870338806,1637779870338809,0,1637779870339049,1637779870339220,0,1637779870339221,1637779869926829,1637779869927240,1637779870319303,1637779870339221
26,2,56,0,2,1637779870751188,1637779870751190,0,1637779870751398,1637779870751535,0,1637779870751536,1637779870339222,1637779870339732,1637779870731889,1637779870751536
27,2,56,0,2,1637779871162998,1637779871162999,0,1637779871163213,1637779871163378,0,1637779871163378,1637779870751537,1637779870752169,1637779871147763,1637779871163379
28,2,56,0,2,1637779871572157,1637779871572159,0,1637779871572378,1637779871572513,0,1637779871572514,1637779871163380,1637779871163928,1637779871554603,1637779871572514
29,2,56,0,2,1637779871980610,1637779871980612,0,1637779871980830,1637779871980989,0,1637779871980989,1637779871572515,1637779871573208,1637779871963935,1637779871980989
30,2,56,28,2,1637779872385060,1637779872385062,0,1637779872385288,1637779872411547,1637779872411548,1637779872439532,1637779871980991,1637779871981516,1637779872375797,1637779872440041
31,0,84,0,0,1637779872915989,0,0,0,0,0,0,1637779872440043,1637779872444511,1637779872716634,1637779872915989
32,0,84,0,0,1637779873365335,0,0,0,0,0,0,1637779872915992,1637779872916623,1637779873176471,1637779873365335
33,0,84,0,0,1637779873712436,0,0,0,0,0,0,1637779873365336,1637779873366194,1637779873625634,1637779873712436
34,0,84,0,0,1637779873990850,0,0,0,0,0,0,1637779873712437,1637779873713138,1637779873972347,1637779873990850
35,0,84,0,0,1637779874265060,0,0,0,0,0,0,1637779873990851,1637779873991361,1637779874248472,1637779874265060
36,0,84,0,0,1637779874541022,0,0,0,0,0,0,1637779874265061,1637779874265892,1637779874527191,1637779874541022
37,0,84,0,0,1637779874815309,0,0,0,0,0,0,1637779874541023,1637779874541828,1637779874801328,1637779874815309
38,0,84,0,0,1637779875089577,0,0,0,0,0,0,1637779874815310,1637779874816061,1637779875079257,1637779875089577
39,0,84,0,0,1637779875364711,0,0,0,0,0,0,1637779875089577,1637779875090652,1637779875353924,1637779875364711
40,0,84,0,0,1637779875653039,0,0,0,0,0,0,1637779875364712,1637779875365661,1637779875625586,1637779875653039
41,3,84,0,1,1637779875926369,1637779875926373,1637779875932724,1637779875934163,1637779875978830,0,1637779875978830,1637779875653040,1637779875653772,1637779875913257,1637779875978830
42,3,84,0,2,1637779876251951,1637779876251954,0,1637779876252219,1637779876252358,0,1637779876252358,1637779875978832,1637779875979590,1637779876239251,1637779876252358
43,3,84,0,2,1637779876525024,1637779876525026,0,1637779876525242,1637779876525380,0,1637779876525380,1637779876252360,1637779876253173,1637779876514414,1637779876525380
44,3,84,0,2,1637779876798178,1637779876798180,0,1637779876798392,1637779876798525,0,1637779876798525,1637779876525382,1637779876526163,1637779876786874,1637779876798525
45,3,84,0,2,1637779877072272,1637779877072274,0,1637779877072487,1637779877072624,0,1637779877072624,1637779876798527,1637779876799403,1637779877055955,1637779877072624
46,3,84,0,2,1637779877348528,1637779877348530,0,1637779877348734,1637779877348869,0,1637779877348869,1637779877072626,1637779877073254,1637779877333405,1637779877348869
47,3,84,28,2,1637779877624667,1637779877624668,0,1637779877624880,1637779877653230,1637779877653230,1637779877692010,1637779877348871,1637779877349647,1637779877613720,1637779877692064
48,0,112,0,0,1637779878050906,0,0,0,0,0,0,1637779877692066,1637779877696893,1637779877891891,1637779878050906
49,0,112,0,0,1637779878410760,0,0,0,0,0,0,1637779878050908,1637779878051785,1637779878248394,1637779878410760
50,0,112,0,0,1637779878766187,0,0,0,0,0,0,1637779878410761,1637779878411226,1637779878606999,1637779878766187
51,0,112,0,0,1637779879118128,0,0,0,0,0,0,1637779878766188,1637779878767005,1637779878958366,1637779879118128
52,0,112,0,0,1637779879468507,0,0,0,0,0,0,1637779879118130,1637779879118569,1637779879314477,1637779879468507
53,0,112,0,0,1637779879806392,0,0,0,0,0,0,1637779879468509,1637779879469263,1637779879660357,1637779879806392
54,0,112,0,0,1637779880013365,0,0,0,0,0,0,1637779879806393,1637779879807357,1637779880006780,1637779880013365
55,0,112,0,0,1637779880219937,0,0,0,0,0,0,1637779880013367,1637779880014246,1637779880209914,1637779880219937
56,0,112,0,0,1637779880426910,0,0,0,0,0,0,1637779880219939,1637779880220694,1637779880417040,1637779880426910
57,0,112,0,0,1637779880631077,0,0,0,0,0,0,1637779880426911,1637779880427683,1637779880624355,1637779880631077
58,0,112,0,0,1637779880838253,0,0,0,0,0,0,1637779880631078,1637779880631942,1637779880829403,1637779880838253
59,0,112,0,0,1637779881045655,0,0,0,0,0,0,1637779880838255,1637779880839207,1637779881032764,1637779881045655
60,0,112,0,0,1637779881251410,0,0,0,0,0,0,1637779881045656,1637779881046524,1637779881241901,1637779881251410
61,0,112,0,0,1637779881456219,0,0,0,0,0,0,1637779881251411,1637779881252162,1637779881447927,1637779881456219
62,0,112,0,0,1637779881701287,0,0,0,0,0,0,1637779881456220,1637779881456938,1637779881654657,1637779881701287
63,0,112,0,0,1637779882053364,0,0,0,0,0,0,1637779881701288,1637779881702128,1637779881898695,1637779882053364
64,0,112,0,0,1637779882304293,0,0,0,0,0,0,1637779882053365,1637779882054469,1637779882251705,1637779882304293
65,0,112,0,0,1637779882506775,0,0,0,0,0,0,1637779882304294,1637779882305279,1637779882502461,1637779882506775
66,0,112,0,0,1637779882713212,0,0,0,0,0,0,1637779882506803,1637779882507717,1637779882704157,1637779882713212
67,0,112,0,0,1637779882920294,0,0,0,0,0,0,1637779882713213,1637779882713975,1637779882909879,1637779882920294
68,0,112,0,0,1637779883125438,0,0,0,0,0,0,1637779882920295,1637779882921148,1637779883116178,1637779883125438
69,0,112,0,0,1637779883332651,0,0,0,0,0,0,1637779883125439,1637779883126155,1637779883323358,1637779883332651
70,0,112,0,0,1637779883538058,0,0,0,0,0,0,1637779883332653,1637779883333591,1637779883526678,1637779883538058
71,0,112,0,0,1637779883742382,0,0,0,0,0,0,1637779883538060,1637779883538801,1637779883733373,1637779883742382
72,0,112,0,0,1637779883966672,0,0,0,0,0,0,1637779883742383,1637779883743214,1637779883939565,1637779883966672
73,0,112,0,0,1637779884173606,0,0,0,0,0,0,1637779883966674,1637779883967572,1637779884162722,1637779884173606
74,0,112,0,0,1637779884380055,0,0,0,0,0,0,1637779884173608,1637779884174450,1637779884368901,1637779884380055
75,0,112,0,0,1637779884587698,0,0,0,0,0,0,1637779884380056,1637779884380976,1637779884576668,1637779884587698
76,0,112,0,0,1637779884792918,0,0,0,0,0,0,1637779884587699,1637779884587994,1637779884781920,1637779884792918
77,0,112,0,0,1637779885000195,0,0,0,0,0,0,1637779884792919,1637779884793762,1637779884988881,1637779885000195
78,0,112,0,0,1637779885207291,0,0,0,0,0,0,1637779885000197,1637779885000852,1637779885200374,1637779885207291
