iteration, res_change_id, num_procs, delta_procs, rc_status, rc_start, get_rc_start, psetop_start, accept_start, accept_end, reinit_start, rc_end, rebalance_start, work_start, work_end, iteration_end
1,0,56,0,0,1637781510785436,0,0,0,0,0,0,1637781510073224,1637781510082787,1637781510784964,1637781510785437
2,0,56,0,0,1637781511251394,0,0,0,0,0,0,1637781510785444,1637781510785801,1637781511228050,1637781511251394
3,0,56,0,0,1637781511660556,0,0,0,0,0,0,1637781511251397,1637781511251971,1637781511640554,1637781511660556
4,0,56,0,0,1637781512070466,0,0,0,0,0,0,1637781511660558,1637781511661075,1637781512047992,1637781512070466
5,0,56,0,0,1637781512483088,0,0,0,0,0,0,1637781512070467,1637781512070995,1637781512463433,1637781512483089
6,0,56,0,0,1637781512893077,0,0,0,0,0,0,1637781512483089,1637781512483532,1637781512874125,1637781512893078
7,0,56,0,0,1637781513298145,0,0,0,0,0,0,1637781512893079,1637781512893369,1637781513288288,1637781513298145
8,0,56,0,0,1637781513706175,0,0,0,0,0,0,1637781513298146,1637781513298665,1637781513691271,1637781513706175
9,0,56,0,0,1637781514119299,0,0,0,0,0,0,1637781513706179,1637781513706549,1637781514107730,1637781514119299
10,0,56,0,0,1637781514532587,0,0,0,0,0,0,1637781514119300,1637781514119943,1637781514511602,1637781514532587
11,1,56,28,1,1637781514938110,1637781514938148,1637781514945019,1637781514946408,1637781516417942,1637781516417944,1637781516447717,1637781514532588,1637781514533015,1637781514926822,1637781516448316
12,0,84,0,0,1637781516920508,0,0,0,0,0,0,1637781516448318,1637781516453906,1637781516715247,1637781516920508
13,0,84,0,0,1637781517387432,0,0,0,0,0,0,1637781516920509,1637781516921222,1637781517182721,1637781517387432
14,0,84,0,0,1637781517846015,0,0,0,0,0,0,1637781517387433,1637781517388245,1637781517651829,1637781517846015
15,0,84,0,0,1637781518209727,0,0,0,0,0,0,1637781517846016,1637781517846673,1637781518108752,1637781518209727
16,0,84,0,0,1637781518485583,0,0,0,0,0,0,1637781518209728,1637781518210527,1637781518471888,1637781518485583
17,0,84,0,0,1637781518757130,0,0,0,0,0,0,1637781518485585,1637781518486323,1637781518745085,1637781518757130
18,0,84,0,0,1637781519030176,0,0,0,0,0,0,1637781518757131,1637781518757805,1637781519019793,1637781519030176
19,0,84,0,0,1637781519306087,0,0,0,0,0,0,1637781519030186,1637781519031218,1637781519294638,1637781519306087
20,0,84,0,0,1637781519581718,0,0,0,0,0,0,1637781519306087,1637781519306974,1637781519567852,1637781519581718
21,0,84,0,0,1637781519856065,0,0,0,0,0,0,1637781519581719,1637781519582125,1637781519847456,1637781519856065
22,2,84,-28,1,1637781520130999,1637781520131012,1637781520140472,1637781520141556,1637781520199155,1637781520199157,1637781520244059,1637781519856066,1637781519856891,1637781520119360,1637781520244115
23,0,56,0,0,1637781520699810,0,0,0,0,0,0,1637781520244116,1637781520245086,1637781520635122,1637781520699810
24,0,56,0,0,1637781521109009,0,0,0,0,0,0,1637781520699812,1637781520700098,1637781521092556,1637781521109009
