iteration, res_change_id, num_procs, delta_procs, rc_status, rc_start, get_rc_start, psetop_start, accept_start, accept_end, reinit_start, rc_end, rebalance_start, work_start, work_end, iteration_end
1,0,84,0,0,1637781754785898,0,0,0,0,0,0,1637781754302988,1637781754315024,1637781754573488,1637781754785899
2,0,84,0,0,1637781755256850,0,0,0,0,0,0,1637781754785899,1637781754786422,1637781755047292,1637781755256851
3,0,84,0,0,1637781755721189,0,0,0,0,0,0,1637781755256858,1637781755257298,1637781755518812,1637781755721189
4,0,84,0,0,1637781755990929,0,0,0,0,0,0,1637781755721191,1637781755721722,1637781755983516,1637781755990929
5,0,84,0,0,1637781756266856,0,0,0,0,0,0,1637781755990929,1637781755991641,1637781756256898,1637781756266856
6,0,84,0,0,1637781756543050,0,0,0,0,0,0,1637781756266857,1637781756267627,1637781756527809,1637781756543051
7,0,84,0,0,1637781756814627,0,0,0,0,0,0,1637781756543051,1637781756543716,1637781756803236,1637781756814627
8,0,84,0,0,1637781757091156,0,0,0,0,0,0,1637781756814628,1637781756815707,1637781757077566,1637781757091156
9,0,84,0,0,1637781757366905,0,0,0,0,0,0,1637781757091163,1637781757091956,1637781757350259,1637781757366905
10,0,84,0,0,1637781757640011,0,0,0,0,0,0,1637781757366906,1637781757367874,1637781757632850,1637781757640011
11,1,84,0,1,1637781757943251,1637781757943287,1637781757951451,1637781757995174,1637781757995562,0,1637781757995562,1637781757640012,1637781757640635,1637781757904015,1637781757995562
12,1,84,0,2,1637781758271348,1637781758271351,0,1637781758271604,1637781758271748,0,1637781758271748,1637781757995563,1637781757996730,1637781758260272,1637781758271748
13,1,84,0,2,1637781758547747,1637781758547749,0,1637781758547946,1637781758548078,0,1637781758548078,1637781758271749,1637781758272707,1637781758535845,1637781758548078
14,1,84,0,2,1637781758886587,1637781758886589,0,1637781758886793,1637781758886937,0,1637781758886937,1637781758548079,1637781758548955,1637781758814190,1637781758886937
15,1,84,0,2,1637781759251017,1637781759251020,0,1637781759251219,1637781759251359,0,1637781759251359,1637781758886938,1637781758887785,1637781759144853,1637781759251359
16,1,84,28,2,1637781759527212,1637781759527214,0,1637781759527422,1637781759554070,1637781759554071,1637781759586269,1637781759251360,1637781759252115,1637781759509256,1637781759586320
17,0,112,0,0,1637781759961702,0,0,0,0,0,0,1637781759586321,1637781759589693,1637781759785281,1637781759961702
18,0,112,0,0,1637781760314324,0,0,0,0,0,0,1637781759961704,1637781759962619,1637781760156536,1637781760314324
19,0,112,0,0,1637781760666167,0,0,0,0,0,0,1637781760314325,1637781760315046,1637781760509016,1637781760666167
20,0,112,0,0,1637781761017097,0,0,0,0,0,0,1637781760666168,1637781760666784,1637781760862103,1637781761017097
21,0,112,0,0,1637781761367603,0,0,0,0,0,0,1637781761017097,1637781761017881,1637781761214357,1637781761367603
22,0,112,0,0,1637781761718908,0,0,0,0,0,0,1637781761367604,1637781761368402,1637781761568553,1637781761718908
23,0,112,0,0,1637781762070183,0,0,0,0,0,0,1637781761718909,1637781761719739,1637781761915199,1637781762070183
24,0,112,0,0,1637781762307915,0,0,0,0,0,0,1637781762070184,1637781762071266,1637781762264597,1637781762307915
25,0,112,0,0,1637781762515316,0,0,0,0,0,0,1637781762307916,1637781762308686,1637781762504349,1637781762515316
26,0,112,0,0,1637781762722730,0,0,0,0,0,0,1637781762515327,1637781762515923,1637781762713155,1637781762722730
27,2,112,-28,1,1637781762930114,1637781762930124,1637781762940682,1637781762941995,1637781762994707,1637781762994707,1637781763041218,1637781762722731,1637781762723262,1637781762917277,1637781763041311
28,0,84,0,0,1637781763509080,0,0,0,0,0,0,1637781763041313,1637781763042960,1637781763309469,1637781763509080
29,0,84,0,0,1637781763834776,0,0,0,0,0,0,1637781763509081,1637781763509390,1637781763774057,1637781763834776
30,0,84,0,0,1637781764166866,0,0,0,0,0,0,1637781763834778,1637781763835399,1637781764166816,1637781764166866
31,0,84,0,0,1637781764452400,0,0,0,0,0,0,1637781764166867,1637781764167790,1637781764452342,1637781764452400
32,0,84,0,0,1637781764728613,0,0,0,0,0,0,1637781764452401,1637781764453422,1637781764716810,1637781764728613
33,0,84,0,0,1637781765002290,0,0,0,0,0,0,1637781764728614,1637781764729286,1637781764994507,1637781765002290
34,0,84,0,0,1637781765277444,0,0,0,0,0,0,1637781765002291,1637781765003189,1637781765266549,1637781765277444
35,0,84,0,0,1637781765553141,0,0,0,0,0,0,1637781765277446,1637781765278173,1637781765542641,1637781765553141
36,0,84,0,0,1637781765826512,0,0,0,0,0,0,1637781765553142,1637781765554197,1637781765819690,1637781765826512
37,0,84,0,0,1637781766102798,0,0,0,0,0,0,1637781765826514,1637781765827142,1637781766091672,1637781766102798
38,0,84,0,0,1637781766376603,0,0,0,0,0,0,1637781766102814,1637781766103445,1637781766368251,1637781766376603
